https://de.pycon.org/,./schedule/
http://us.pycon.org/2017,/2017/schedule/talks/
http://2017.pythonbrasil.org.br/,#schedule
python.eu/p3/schedule/ep2017/
http://www.euroscipy.org/2017,program.html
https://2017.pycon-au.org,#
http://nz.pycon.org,/schedule/
http://www.pythoncm.org/,
http://www.europython.eu,https://ep2017.europython.eu/p3/schedule/ep2017/
http://www.pycon.co.ke,
http://pyconcameroon.org/,
http://de.pycon.org,./schedule/
http://ar.pycon.org,
http://www.pycon.ca,/schedule/
http://cz.pycon.org,/2017/speakers/schedule/
http://pycon.dk,
http://www.pythonbrasil.org.br,#top
http://fr.pycon.org,/programme.html
http://es.pycon.org,/es/schedule/
http://ph.pycon.org,
http://pycon.lt,
http://www.pycon.hk,/2017/schedule/
http://python.ie/pyconireland,http://schedule.pycon.python.ie/
http://www.pycon.se,https://leanpub.com/codingdojohandbook
http://sk.pycon.org,
http://www.pycon.ir,index.html#timeline2
http://pycon.python.org.uy,
http://www.pycon.my,https://pycon.my/pycon-apac-2017-program-schedule/
http://pycon.ru,/2017/program/
http://ve.pycon.org,
http://ar.pycon.org/,
http://www.pycon.it,
http://ua.pycon.org,/en/schedule.html
http://il.pycon.org,/wwwpyconIL/agenda-table
http://python-namibia.org/,/programme/
http://pl.pycon.org,agenda
http://in.pycon.org,/2017/#schedule
http://www.python-summit.ch/,/pages/program.html
http://pydata.org/events/,
http://za.pycon.org,/schedule/
http://scipy.in,/#schedule
http://tw.pycon.org,/2017/en-us/events/schedule/
http://www.pycon.kr,
http://pyconuk.org,/schedule/
